,Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,Comments,CompletedRoutes,RouteDoors,OverallTime
0,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,21.0,30.0,No,,1.0,1.0,32.0
1,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,0,2.0,5.0,No,,1.0,1.0,60.109725685785534
2,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,3,7.0,30.0,No,,1.0,7.0,30.0
3,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,1,15.0,15.0,No,,1.0,8.0,15.0
4,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,3,10.0,30.0,No,,1.0,10.0,30.0
5,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,1,11.0,60.0,Yes,,2.0,11.0,60.0
6,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,1,12.0,15.0,No,,1.0,12.0,40.0
7,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,12.0,30.0,No,,1.0,12.0,60.109725685785534
8,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,4,0,14.0,45.0,No,,1.0,13.0,45.0
9,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,1,0,17.0,30.0,No,,1.0,13.0,35.0
10,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,3,15.0,45.0,No,,1.0,13.0,35.0
11,North Stake Centre,Edmonton North Stake,Griesbach Ward,3,0,17.0,45.0,No,,1.0,13.0,60.0
12,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,20.0,45.0,No,,1.0,13.0,45.0
13,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,1,2,18.0,40.0,No,,1.0,14.0,40.0
14,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,3,15.0,60.0,No,,1.0,14.0,60.0
15,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,3,14.0,25.0,No,,1.0,14.0,25.0
16,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,1,36.0,45.0,No,An extra bag of rice not labelled,1.0,15.0,60.109725685785534
17,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,15.0,45.0,No,,1.0,15.0,45.0
18,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,4,0,17.0,30.0,No,,1.0,17.0,60.109725685785534
19,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,5,0,29.0,30.0,No,,1.0,19.0,30.0
20,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,3,25.0,35.0,No,,1.0,19.0,33.0
21,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,24.0,30.0,No,,1.0,20.0,30.0
22,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,40.0,60.0,No,,1.0,20.0,65.0
23,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,0,23.0,30.0,No,,1.0,20.0,30.0
24,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,1,25.0,55.0,No,,1.0,20.0,55.0
25,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,3,27.0,60.0,No,,1.0,21.0,60.0
26,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,27.0,40.0,No,,1.0,23.0,40.0
27,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,30.0,60.0,Yes,,2.0,23.0,75.0
28,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,3,23.0,58.0,No,,1.0,23.0,58.0
29,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,24.0,30.0,No,156,1.0,23.0,60.109725685785534
30,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,0,20.0,55.0,No,,1.0,25.0,55.0
31,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,3,1,25.0,60.0,No,129,1.0,25.0,60.109725685785534
32,Londonderry Chapel,Bonnie Doon Stake,Strathcona Married Student Ward,1,5,25.0,45.0,No,"From Sherwood Park, Route # 179",1.0,25.0,60.109725685785534
33,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,25.0,35.0,No,,1.0,26.0,35.0
34,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,31.0,58.0,No,It was awesome,1.0,27.0,60.109725685785534
35,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,32.0,45.0,No,,1.0,27.0,60.109725685785534
36,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,1,0,11.0,20.0,No,,1.0,29.0,13.0
37,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,3,30.0,35.0,No,,1.0,30.0,35.0
38,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,34.0,60.0,Yes,,2.0,32.0,60.109725685785534
39,Gateway Stake Centre,Gateway Stake,Rio Vista Ward,2,1,45.0,60.0,Yes,"Very poor this year. The bags said Walmart so lots of people didn't volunteer, yellow bags are better",2.0,36.0,54.0
40,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,1,3,50.0,60.0,No,,1.0,38.0,65.0
41,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,18.0,120.0,Yes,,2.0,40.0,120.0
42,North Stake Centre,Edmonton North Stake,Griesbach Ward,3,2,43.0,60.0,Yes,,2.0,40.0,60.0
43,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,0,5.0,30.0,No,,1.0,40.0,30.0
44,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,0,7.0,45.0,No,,1.0,40.0,45.0
45,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,5,1,6.0,15.0,No,,1.0,40.0,60.0
46,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,4,45.0,120.0,No,,1.0,45.0,109.0
47,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,17.0,60.0,No,,1.0,50.0,75.0
48,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,15.0,20.0,No,,1.0,50.0,60.109725685785534
49,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,25.0,40.0,No,,1.0,60.0,38.0
50,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,8.0,30.0,No,,1.0,60.0,30.0
51,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,72.0,45.0,Yes,,3.0,63.0,81.0
52,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,3,65.0,65.0,Yes,,3.0,65.0,65.0
53,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,16.0,20.0,No,"Assign larger route area's, suggest we don't start to pick up until 1:00 pm. Some people mentioned they did not think we would be there that early: 11:30, it may result in more bags. A thank you card left in their mailbox may be nice...if donated by a business. Include a longer list of things the foodbank would like to see. 
So, I spoke to people getting food at a food bank and here are some things I learned from those in need:
1. Everyone donates Kraft Mac and Cheese in the box. They can rarely use it because it needs milk and butter which is hard to get from regular food banks.
2. Boxed milk is a treasure, as kids need it for cereal which they also get a lot of.
3. Everyone donates pasta sauce and spaghetti noodles.
4. They cannot eat all the awesome canned veggies and soup unless you put a can opener in too or buy pop tops.
5. Oil is a luxury but needed for Rice a-Roni which they also get a lot of.
6. Spices or salt and pepper would be a real Christmas gift.
7. Tea bags and coffee make them feel like you care.
8. Sugar and flour are treats.
9. They fawn over fresh produce donated by farmers and grocery stores.
10. Seeds are cool in Spring and Summer because growing can be easy for some.
11. They rarely get fresh meat.
12. Tuna and crackers make a good lunch.
13. Hamburger Helper goes nowhere without ground beef.
14. They get lots of peanut butter and jelly but usually not sandwich bread.
15. Butter or margarine is nice too.
16. Eggs are a real commodity.
17. Cake mix and frosting makes it possible to make a childs birthday cake.
18. Dishwashing detergent is very expensive and is always appreciated.
19. Feminine hygiene products are a luxury and women will cry over that.
20. Everyone loves Stove Top Stuffing..",1.0,67.0,30.0
54,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,8.0,15.0,No,,1.0,68.0,38.0
55,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,2,2,10.0,10.0,No,,1.0,70.0,28.0
56,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,2,4,80.0,105.0,Yes,,4.0,74.0,105.0
57,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,17.0,51.0,No,,1.0,75.0,54.0
58,North Stake Centre,Edmonton North Stake,Griesbach Ward,3,0,16.0,30.0,No,,1.0,75.0,30.0
59,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,35.0,75.0,Yes,,3.0,75.0,55.0
60,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,3,1,100.0,135.0,Yes,,2.0,80.0,60.109725685785534
61,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,4,1,15.0,15.0,No,,1.0,80.0,15.0
62,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,0,15.0,40.0,No,,1.0,80.0,88.0
63,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,4,0,8.0,45.0,No,,1.0,80.0,60.0
64,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,2,3,22.0,30.0,No,,1.0,80.0,40.0
65,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,3,7.0,40.0,No,,1.0,90.0,40.0
66,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,0,18.0,55.0,No,,1.0,90.0,55.0
67,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,15.0,30.0,No,,1.0,90.0,38.0
68,Bearspaw Chapel,Bonnie Doon Stake,Strathcona Married Student Ward,2,1,10.0,30.0,No,,1.0,90.0,45.0
69,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,12.0,60.0,No,More advertising people and make aware that every should make some donation even one can or anything they can afford,1.0,92.0,60.0
70,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,42.0,30.0,No,,1.0,95.0,53.0
71,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,0,20.0,45.0,No,,1.0,95.0,89.0
72,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,20.0,60.0,No,,1.0,96.0,60.0
73,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,16.0,25.0,No,Route 1,1.0,98.0,25.0
74,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,1.0,30.0,No,Route: 136,1.0,100.0,34.0
75,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,20.0,20.0,No,,1.0,100.0,20.0
76,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,1,1,15.0,60.0,No,,1.0,100.0,60.109725685785534
77,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,3,30.0,75.0,No,,1.0,100.0,75.0
78,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,1,30.0,60.0,No,,1.0,100.0,60.109725685785534
79,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,15.0,60.0,No,,1.0,100.0,75.0
80,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,3,3,30.0,60.0,Yes,,2.0,100.0,73.0
81,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,0,9.0,20.0,No,,1.0,100.0,20.0
82,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,3,16,25.0,45.0,No,,1.0,100.0,45.0
83,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,18.0,120.0,No,No comments,1.0,100.0,56.0
84,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,20.0,35.0,No,Route 33,1.0,100.0,40.0
85,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,19.0,30.0,No,,1.0,100.0,30.0
86,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,16.0,60.0,No,Route: 125,1.0,100.0,65.0
87,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,4,0,25.0,60.0,No,,1.0,100.0,60.0
88,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,15.0,60.0,No,,1.0,106.0,50.0
89,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,3,29.0,60.0,No,,1.0,107.0,60.0
90,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,3,2,20.0,40.0,No,Route bowen: 41-113,1.0,107.0,40.0
91,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,4,19.0,20.0,Yes,,2.0,109.0,20.0
92,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,21.0,40.0,No,,1.0,109.0,40.0
93,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,3,39.0,120.0,No,,1.0,110.0,109.0
94,Londonderry Chapel,Bonnie Doon Stake,Strathcona Married Student Ward,2,0,16.0,30.0,No,"Route 178, for 16 houses",1.0,110.0,35.0
95,Bonnie Doon Stake Centre,Bonnie Doon Stake,Strathcona Married Student Ward,2,0,14.0,45.0,No,,1.0,110.0,35.0
96,Bearspaw Chapel,YSA Stake,Windsor Park YSA Ward,1,2,50.0,60.0,Yes,Good,2.0,110.0,58.0
97,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,12.0,25.0,No,,1.0,110.0,25.0
98,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,6.0,35.0,No,Route 136,1.0,110.0,65.0
99,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,17.0,60.0,No,,1.0,110.0,60.109725685785534
100,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,20.0,60.0,No,Very thorough. Route: 212,1.0,110.0,107.0
101,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,2,12.0,20.0,No,Route: 46,1.0,110.0,25.0
102,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,17.0,40.0,Yes,Would be helpful to have print outs to put on car saying volunteer,1.0,113.0,50.0
103,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,16.0,30.0,No,,1.0,114.0,21.0
104,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,13.0,15.0,No,,1.0,115.0,30.0
105,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,5,15.0,25.0,No,,1.0,115.0,84.0
106,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15.0,40.0,No,,1.0,115.0,40.0
107,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15.0,40.0,No,,1.0,115.0,40.0
108,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Stony Plain Ward,2,5,20.0,20.0,No,,1.0,115.0,150.0
109,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,0,30.0,30.0,No,no comments,1.0,115.0,30.0
110,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15.0,25.0,No,,1.0,116.0,25.0
111,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,11.0,35.0,No,57,1.0,116.0,60.109725685785534
112,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,22.0,40.0,No,,1.0,118.0,40.0
113,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,25.0,40.0,No,We did this route last year and the turn out was not good either.,1.0,118.0,48.0
114,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,5,16.0,30.0,No,,1.0,120.0,30.0
115,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,20.0,60.0,No,,1.0,120.0,60.0
116,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,10.0,52.0,No,,1.0,120.0,52.0
117,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,10.0,20.0,Yes,half of the route had no flyer signs,2.0,120.0,20.0
118,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,15.0,30.0,No,Route: 108,1.0,121.0,38.0
119,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20.0,60.0,No,Less bags than number of houses,1.0,123.0,60.0
120,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,28.0,30.0,No,,1.0,123.0,30.0
121,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,44.0,75.0,No,,1.0,125.0,85.0
122,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,0,16.0,40.0,No,,1.0,125.0,40.0
123,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,1,18.0,45.0,No,No comment,1.0,125.0,36.0
124,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,24.0,60.0,No,Route shows 170 house but there 128,1.0,128.0,60.0
125,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Stony Plain Ward,2,0,140.0,30.0,No,It was very simple and do-able,1.0,130.0,60.0
126,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,1,4,30.0,30.0,No,,1.0,130.0,30.0
127,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,0,33.0,45.0,Yes,No comu,2.0,130.0,45.0
128,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,35.0,70.0,No,,1.0,134.0,67.0
129,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,16.0,30.0,No,,1.0,135.0,30.0
130,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,25.0,45.0,No,154,1.0,135.0,60.109725685785534
131,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,1,14.0,60.0,No,,1.0,135.0,70.0
132,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,15.0,45.0,No,We went through the route twice. Donations on the route are down dramatically. Less than half of the usual of the last 10 years.,1.0,135.0,35.0
133,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,5.0,17.0,No,,1.0,135.0,17.0
134,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,10.0,30.0,No,,1.0,136.0,30.0
135,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6.0,19.0,Yes,,2.0,136.0,18.0
136,Gateway Stake Centre,Gateway Stake,Wainwright Branch,2,0,23.0,30.0,No,People with whom i interact on Tuesdays gave more,1.0,137.0,30.0
137,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,0,20.0,60.0,No,,1.0,137.0,60.0
138,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,9.0,20.0,No,,1.0,138.0,20.0
139,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,21.0,35.0,No,Map should be more specific,1.0,139.0,32.0
140,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,18.0,63.0,No,,1.0,140.0,63.0
141,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,0,17.0,15.0,No,,1.0,140.0,15.0
142,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,36.0,60.0,Yes,"Way less donations this year, not as much as usual",2.0,140.0,73.0
143,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,17.0,25.0,No,,1.0,141.0,22.0
144,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,28.0,70.0,No,It would have been nice to drop off a thank you card to those who donated as in past years.,1.0,142.0,60.0
145,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,1,3,12.0,30.0,No,,1.0,142.0,30.0
146,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,1,2,31.0,60.0,No,,1.0,143.0,55.0
147,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,3,0,18.0,45.0,No,,1.0,143.0,45.0
148,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,35.0,75.0,Yes,,2.0,144.0,74.0
149,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,37.0,30.0,Yes,None,2.0,144.0,30.0
150,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,18.0,25.0,Yes,,2.0,144.0,30.0
151,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,8.0,30.0,No,,1.0,144.0,30.0
152,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,0,22.0,30.0,No,Stopped to talk to a few neighbours,1.0,145.0,45.0
153,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,36.0,40.0,No,,1.0,145.0,44.0
154,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,14.0,24.0,Yes,,2.0,146.0,24.0
155,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,20,20.0,60.0,No,Great experience to thank our neighbors for their generosity.,1.0,147.0,60.0
